Product,Type,Description,Price,,,,,,,,,,,,,,,,,,,,,
Aluminum Flashing,Non-inventory,Aluminum flashing plate for exclusion  and weatherproofing.,4,,,,,,,,,,,,,,,,,,,,,
Animal Removal,Service,Removal of dead animal from property outside of normal contracted service calls.,300,,,,,,,,,,,,,,,,,,,,,
Anti-fungal Treatment,Service,"Primary treatment of fungal spores and deposits.  Additional use of desiccants, dehumidification and/or ventilation as needed.",400,,,,,,,,,,,,,,,,,,,,,
Bait Station,Non-inventory,One rodent bait station with Kat Sense trap and bait pre-installed.  No poison used ever.,40,,,,,,,,,,,,,,,,,,,,,
Bait Station Installation,Service,Service charge for installation of bait stations.,150,,,,,,,,,,,,,,,,,,,,,
Bondo Wood Filler,Non-inventory,20 oz Bondo Wood Filler,26,,,,,,,,,,,,,,,,,,,,,
Broadcast/Area Treatment,Service,"Broadcast treatment of yards, lawns, dirt or wooded areas.",425,,,,,,,,,,,,,,,,,,,,,
Carpenter Ant Treatment,Service,Primary non-repellent treatment of carpenter ants.,400,,,,,,,,,,,,,,,,,,,,,
Cockroach Service,Service,Treatment Plan and Extermination Services for Cockroaches (Existing Colony/Brood),725,,,,,,,,,,,,,,,,,,,,,
Concrete,Non-inventory,60# Bag of Concrete Mix,8,,,,,,,,,,,,,,,,,,,,,
Contractor Bags,Non-inventory,"Husky brand, 50-gallon contractor bags.",32,,,,,,,,,,,,,,,,,,,,,
Custom Amount,Non-inventory,,,,,,,,,,,,,,,,,,,,,,,Contractor's Sealant
Deposit,Service,"Materials deposit, directly applied to invoice.",0,,,,,,,,,,,,,,,,,,,,,
Deposit Reimbursement,Service,Reimbursement for deposit taken.,0,,,,,,,,,,,,,,,,,,,,,
Dimensional Lumber,Non-inventory,,,,,,,,,,,,,,,,,,,,,,,
Disinfectant,Non-inventory,Hospital-grade pet + child safe sanitizer with disinfectant.  Used in remediation and removing rodent pheromones.,10,,,,,,,,,,,,,,,,,,,,,
Drain Fly Treatment,Non-inventory,"Treatment of drain/sewer flies with three prong treatment.  Followup visits every day for five days, drains will be out of order during this time.",375,,,,,,,,,,,,,,,,,,,,,
Est. Materials,Non-inventory,Estimate for materials cost.,0,,,,,,,,,,,,,,,,,,,,,
Exclusion,Service,Locate and seal rodent entry points.,120,,,,,,,,,,,,,,,,,,,,,
Expanding Foam,Non-inventory,"Expanding foam applied to anchored wire or wire form, used for exclusion.",14,,,,,,,,,,,,,,,,,,,,,
Follow Up Visit,Service,Regular check in as described below to ensure successful completion of all elements of the job.,75,,,,,,,,,,,,,,,,,,,,,
Hardware Cloth,Non-inventory,"0.25"" Mesh, Galvanized Steel Hardware Cloth",7,,,,,,,,,,,,,,,,,,,,,
Insect Control Services:Bed Bug Service,Service,Removal of Bed Bugs with primary non repellent treatment and/or heat treatment.,650,,,,,,,,,,,,,,,,,,,,,
Insect Control Services:Carpet Beetle Treatment,Service,"Treatment for carpet beetles, larva and eggs using primary non-repellent treatment.  Customer must follow-up with aggressive vacuuming on a daily basis, upholstery cleaning and laundering of potentially infested clothes/linens on hot using detergent for the following week to avoid recursion.  Removed/seperated fabrics not to re-enter without treatment and/or hot laundering.",675,,,,,,,,,,,,,,,,,,,,,
Insect Control Services:Flying Insect Treatment,Service,"Removal or treatment of hornets, wasps or yellowjackets.",350,,,,,,,,,,,,,,,,,,,,,
Insect Control Services:Primary Non-repellent Treatment,Non-inventory,"BoraCare 78oz @ 95$ x
TimBor 1.5# @ 22$ x
Fipronil 78oz @ 102$ x",,,,,,,,,,,,,,,,,,,,,,
Insect Control Services:Termite Discovery,Service,Extensive probing for termite activity to figure out the extent of the termite damage and size of the termite colony in order to produce an estimate for treatment and prevention.,200,,,,,,,,,,,,,,,,,,,,,
Insect Control Services:Termite Prevention (10 Year),Service,Termite prevention via short-rodding Fipronil (Taurus SC or Navigator SC) into the ground around the property allowing for 5-10 years of prevention against subterranean termites.,1250,,,,,,,,,,,,,,,,,,,,,
